"Refs","Value","Footprint","Qty","DNP"
"D1","SK6812MINI-E","footprints:SK6812MINI-E_fixed","1",""
"D2","SK6812MINI-E","footprints:SK6812MINI-E_fixed","1",""
"D3","SK6812MINI-E","footprints:SK6812MINI-E_fixed","1",""
"D4","SK6812MINI-E","footprints:SK6812MINI-E_fixed","1",""
"D5","SK6812MINI-E","footprints:SK6812MINI-E_fixed","1",""
"D6","SK6812MINI-E","footprints:SK6812MINI-E_fixed","1",""
"D7","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D8","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D9","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D10","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D11","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D12","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"J1","OLED_Display","footprints:SSD1306-0.91-OLED-4pin-128x32","1",""
"SW1","SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","1",""
"SW2","SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","1",""
"SW3","SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","1",""
"SW4","SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","1",""
"SW5","SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","1",""
"SW6","SW_Push","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","1",""
"SW7","RotaryEncoder_Switch","footprints:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","1",""
"U1","Seeed XIAO RP2040","footprints:XIAO-Generic-Hybrid-14P-2.54-21X17.8MM","1",""
